刑事附带民事	赔偿	NA	审理交通肇事犯罪引发的民事赔偿纠纷应严格按照刑事附带民事诉讼模式解决。
醉酒驾车	危害公共安全	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

醉酒驾车	危害公共安全	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

醉酒驾车	危害公共安全	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

醉酒驾车	危害公共安全	NA	对以间接故意实施以危险方法危害公共安全罪的醉酒驾车被告人。

醉酒驾车	危害公共安全	NA	将醉酒驾车肇事行为定性为以危险方法危害公共安全罪势必不当扩大刑法的打击范围。

醉酒驾车	危害公共安全	NA	成都市中级人民法院却认定无证、醉酒驾车造成4死1伤的孙伟铭构成以危险方法危害公共安全罪。

过失危险	犯罪化	NA	过失危险行为犯罪化只应存在于危害公共安全的犯罪中。

故意杀人罪	加重情节	NA	通过重新配置故意杀人罪的现行刊罚以实现尊重、保障和发展人权之刑法目的;通过典型化现行故意杀人罪中的情节较轻、增加故意杀人罪典型的加重情节从而实现罪刑均衡;通过明确设定故意杀人罪的加重或者减轻的犯罪构成从而实现罪刑法定。

行为人	罪过形式	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

行为人	罪过形式	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

行为人	罪过形式	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

中级人民法院	黑社会性质组织罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

中级人民法院	黑社会性质组织罪	NA	重庆市第五中级人民法院依法对岳村等40人涉黑案进行了一审判决:被告人岳村犯组织、领导黑社会性质组织罪、故意杀人罪、故意伤害罪、敲诈勒索罪、非法拘禁罪、非法经营罪等12项犯罪数罪并罚。

中级人民法院	黑社会性质组织罪	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

中级人民法院	黑社会性质组织罪	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

中级人民法院	黑社会性质组织罪	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

故意杀人	法定刑	NA	故意杀人罪的法定刑幅度从3年有期徒刑直至死刑。

故意杀人	法定刑	NA	交通肇事逃逸致人死亡的法定刑对本来还构成的遗弃罪或者不作为的故意杀人罪一并作了刑罚评价。

故意杀人	法定刑	NA	交通肇事逃逸致人死亡的法定刑对本来还构成的遗弃罪或者不作为的故意杀人罪一并作了刑罚评价。

故意伤害罪	轻伤	NA	轻伤作为故意伤害罪构成要件的危害结果。

故意伤害罪	轻伤	NA	故意伤害罪尤其轻伤罪。

故意伤害罪	轻伤	NA	可将故意伤害罪分为三类:故意伤害(轻伤)罪、故意伤害(重伤)罪和故意伤害(致死)罪。

故意伤害罪	轻伤	NA	刑法第一百三十四条根据伤害的不同后果对故意伤害罪规定了三个量刑幅度:致人轻伤的。

危害结果	故意伤害罪	NA	轻伤作为故意伤害罪构成要件的危害结果。

交通肇事罪	遗弃罪	NA	对我国交通肇事罪、遗弃罪和见危不救的理论困境提供一些借鉴。

刑法	刑事诉讼法	NA	《刑法》和《刑事诉讼法》对故意伤害罪三类的情况分别确定了相应的量刑幅度和诉讼制度。

故意杀人案	死缓	NA	尝试对故意杀人案件的死缓适用状况进。

交通肇事罪	结果加重犯	NA	也无法构成交通肇事罪结果加重犯的共犯。

交通肇事罪	结果加重犯	NA	仅作为交通肇事罪的结果加重犯定性处罚。

行为人	故意杀人罪	NA	我国司法实践中将实施安乐死的行为人以故意杀人罪定罪处罚。

交通肇事	情节加重犯	NA	应将“交通运输肇事后逃逸”罪名化的原因有二:一是刑法第133条将“交通运输肇事后逃逸”设置为交通肇事罪情节加重犯并不合理。

刑事案件	最高人民法院审判委员会	NA	最高人民法院审判委员会出台了《关于审理交通肇事刑事案件具体应用法律若干问题的解释》 。

抢夺罪	过失	NA	应分别情况以抢夺罪与过失致人重伤罪、过失致人死亡罪的想象竟合犯论。

有期徒刑	死刑	NA	对故意杀人罪规定了死刑、无期徒刑和有期徒刑。

交通肇事	救助义务	NA	交通肇事后自首或部分履行救助义务不应全部认定为逃逸。

交通肇事	救助义务	NA	交通肇事行为肯定引起救助义务。

人民法院	社会治安	NA	依照《中华人民共和国人民法院组织法》第十三条关于对于严重危害公共安全和社会治安判处死刑的案件的核准权。

被告	民事诉讼	NA	先后完成了对交通肇事罪、刑事附带民事诉讼、被告人翻供和刑事简易程序四个专题的研究。

公安机关	行政处罚	NA	公安机关交通管理部门对交通肇事逃逸司机所作的终生不得重新取得驾驶证的行政处罚。

判处无期徒刑	有期徒刑	NA	以犯故意杀人罪判处刘承玥、李光死刑;康健(被害人的妻子)犯故意杀人罪判处无期徒刑;康壮(被害人的妻弟)被判处有期徒刑5年。

有期徒刑	中级人民法院	NA	被告人夏某与张茹月(另案判决)在被告人吴丹(曾因犯贩卖毒品罪于2006年3月被云南省大理白族自治州中级人民法院判处有期徒刑。

司法机关	罪刑法定	NA	发现司法机关在处理贩卖毒品罪时并没有严格遵循罪刑法定原则和法定量刑准则。

人民法院	伤害案件	NA	在人民法院处理故意伤害案件中。

致人死亡	故意伤害	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

致人死亡	故意伤害	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

致人死亡	故意伤害	NA	而对故意伤害患心脑血管疾病等特异体质者致人死亡的案件。

致人死亡	故意伤害	NA	肥西县2003“9·1”特大雇凶故意伤害致人死亡一案已成功告破。

致人死亡	故意伤害	NA	故意伤害致人死亡是结果加重犯的典型适例。

致人死亡	故意伤害	NA	构成故意伤害(致人死亡)罪。

致人死亡	故意伤害	NA	一审法院以故意伤害致人死亡罪。

恢复性司法	被害人	hierarchical	此规定的积极意义在于以被害人利益为导向的刑事政策 ;符合现代刑法的谦抑原则 ;符合对交通肇事罪刑事政策的发展趋势 ;符合过失损毁财物不负刑事责任的刑法基本原理 ;暗合了恢复性司法的精神。

检察院	批准逮捕	NA	周光付被金沙县检察院以涉嫌故意伤害罪批准逮捕。

行为人	主观罪过	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

行为人	主观罪过	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

行为人	主观罪过	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

检察院	故意伤害	NA	周光付被金沙县检察院以涉嫌故意伤害罪批准逮捕。

检察院	故意伤害	NA	浦东新区检察院诉被告人余新付犯故意伤害罪一案开庭审理。

检察院	故意伤害	NA	 新疆维吾尔自治区昌吉市人民检察院以被告人李建贵犯故意伤害罪。

检察院	故意伤害	NA	北京市海淀区人民检察院批捕了一起因子女阻拦父亲再婚引发的故意伤害案。

检察院	故意伤害	NA	浙江省衢州市柯城区人民检察院以被告人姜方平犯私藏枪支、故意伤害罪。

检察院	故意伤害	NA	下面将以罗湖区人民检察院2008年1-10月份受理的故意伤害案件为基础。

客观方面	主体	NA	故意杀人罪从严情节大致可分为主体、主观方面、客观方面三个方面。

重伤	故意伤害	NA	犯故意杀人、故意伤害致人重伤或者死亡、强奸、抢劫、贩卖毒品、放火、爆炸、投放危险物质罪的。

重伤	故意伤害	NA	犯故意杀人、故意伤害致人重伤或者死亡、强奸、抢劫、贩卖毒品、放火、爆炸、投放危险物质罪的。

重伤	故意伤害	NA	犯故意杀人、故意伤害致人重伤或者死亡、强奸、抢劫、贩卖毒品、放火、爆炸、投放危险物质罪的。

重伤	故意伤害	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

重伤	故意伤害	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

重伤	故意伤害	NA	可将故意伤害罪分为三类:故意伤害(轻伤)罪、故意伤害(重伤)罪和故意伤害(致死)罪。

重伤	故意伤害	NA	致人重伤和死亡或者故意杀人的以故意伤害罪、杀人罪处罚。

重伤	故意伤害	NA	致人重伤和死亡或者故意杀人的以故意伤害罪、杀人罪处罚。

重伤	故意伤害	NA	对致人重伤、死亡一方的首要分子、直接致害人以及其他积极参加者都应以故意伤害罪或故意杀人罪定罪处罚;对被重伤、死亡一方的首要分子和其他积极参加者。

重伤	故意伤害	NA	对致人重伤、死亡一方的首要分子、直接致害人以及其他积极参加者都应以故意伤害罪或故意杀人罪定罪处罚;对被重伤、死亡一方的首要分子和其他积极参加者。

重伤	故意伤害	NA	犯故意杀人、故意伤害致人重伤或者死亡、强奸、抢劫、贩卖毒品、放火、爆炸、投毒罪的。

重伤	故意伤害	NA	犯故意杀人、故意伤害致人重伤或者死亡、强奸、抢劫、贩卖毒品、放火、爆炸、投毒罪的。

重伤	故意伤害	NA	犯故意杀人、故意伤害致人重伤或者死亡、强奸、抢劫、贩卖毒品、放火、爆炸、投毒罪的。

有期徒刑	故意伤害罪	NA	自己在1992年11月6日被区人民法院以故意伤害罪判处有期徒刑5年。

有期徒刑	故意伤害罪	NA	被市第一中级法院终审以故意伤害罪判处有期徒刑13年。

有期徒刑	故意伤害罪	NA	到县法院以故意伤害罪判处陈亚阳有期徒刑3年、缓刑4年时。

有期徒刑	故意伤害罪	NA	案情简介: 2004年3月林某因涉嫌故意伤害罪被某区人民法院一审判处有期徒刑五年。

有期徒刑	故意伤害罪	NA	日前被法院以故意伤害罪判处有期徒刑2年。

有期徒刑	故意伤害罪	NA	故判处崔成金有期徒刑7年;王文册犯故意伤害罪判处有期徒刑7年、犯诈骗罪判处有期徒刑3年;王威犯故意伤害罪判处有期徒刑6年、犯诈骗罪判处有期徒刑。

冤案	再审	NA	以云南杜培武故意杀人案为代表的43个冤案进入再审程序的过程表明。

主体	主观方面	NA	故意杀人罪从严情节大致可分为主体、主观方面、客观方面三个方面。

罪刑法定原则	量刑	NA	发现司法机关在处理贩卖毒品罪时并没有严格遵循罪刑法定原则和法定量刑准则。

交通肇事罪	逃逸	NA	司法解释规定指使者与受指使逃逸的交通肇事者构成交通肇事罪的共犯。

交通肇事罪	逃逸	NA	使逃逸行为脱离交通肇事罪。

交通肇事罪	逃逸	NA	论证认定交通肇事罪刑事违法与确定行政违法间的关系;以逃逸为例指出两种违法认定间的竞合。

交通肇事罪	逃逸	NA	交通肇事后逃逸是交通肇事罪的加重处罚情节。

交通肇事罪	逃逸	NA	交通肇事后逃逸是交通肇事罪中的多发现象 。

交通肇事罪	逃逸	NA	交通肇事罪因逃逸致人死亡是指行为人在交通肇事后为逃避法律追究而逃跑。

交通肇事	对策	NA	探析当前我国交通肇事量刑制度存在的问题及立法完善对策。

交通肇事	对策	NA	解决的对策是改变交通肇事罪中单纯适用过错责任的沿袭。

逃逸	因逃逸致人死亡	NA	因逃逸致人死亡与不作为故意杀人罪区分的关键。

逃逸	因逃逸致人死亡	NA	应正确理解交通肇事因逃逸致人死亡的概念和内涵。

逃逸	因逃逸致人死亡	NA	交通肇事因逃逸致人死亡是指行为人在交通肇事后为逃避法律追究而逃跑。

最高法院	交通肇事罪	NA	最高法院关于交通肇事罪的《解释》。

交通肇事	量刑情节	NA	也是量刑情节;交通肇事后逃逸行为中。

交通肇事	量刑情节	NA	都不影响其应属于交通肇事罪量刑情节的意义。

定罪	刑事案件	NA	审判实践中应严格按照最高人民法院《关于审理破坏公用电信设施刑事案件具体应用法律若干问题的解释》(以下简称《解释》)中列举规定的危害公共安全和严重后果的具体情形进行定罪和量刑。

犯罪嫌疑	故意伤害罪	NA	方舟子被袭案主要犯罪嫌疑人肖传国因故意伤害罪在上海浦东机场被警方抓获。

犯罪嫌疑	故意伤害罪	NA	把一场并不复杂的乡邻纠纷弄得迷雾重重:先是以故意伤害罪对犯罪嫌疑人提请逮捕。

犯罪嫌疑	故意伤害罪	NA	一下子变得复杂起来:先是以故意伤害罪对犯罪嫌疑人提请逮捕。

犯罪嫌疑	故意伤害罪	NA	淮北市杜集区人民检察院以涉嫌故意伤害罪对犯罪嫌疑人张亚辉批准逮捕。

刑法	故意杀人	NA	通过对我国刑法第二百三十二条故意杀人罪的罪状的描述与分析。

刑法	故意杀人	NA	重点分析了故意杀人罪与刑法分则第三章中其他造成人员死亡的有关犯罪的区别。

刑法	故意杀人	NA	通过重新配置故意杀人罪的现行刊罚以实现尊重、保障和发展人权之刑法目的;通过典型化现行故意杀人罪中的情节较轻、增加故意杀人罪典型的加重情节从而实现罪刑均衡;通过明确设定故意杀人罪的加重或者减轻的犯罪构成从而实现罪刑法定。

刑法	故意杀人	NA	故意杀人罪是当今中国刑法中死刑的主要适用对象。

刑法	故意杀人	NA	从而指出将被害人过错在故意杀人罪中量刑法定化的必要性。

刑法	故意杀人	NA	我国刑法中的故意杀人罪规定过于简单。

死刑案件	规范	NA	江西省公、检、法三部门联合出台了《关于规范故意杀人死刑案件证据工作的意见》。

死刑	情节	NA	故意杀人等犯罪行为只是考虑适用死刑的一个量刑情节。

交通肇事	过失	NA	交通肇事犯罪人在主观上是过失心态。

交通肇事	过失	NA	此规定的积极意义在于以被害人利益为导向的刑事政策 ;符合现代刑法的谦抑原则 ;符合对交通肇事罪刑事政策的发展趋势 ;符合过失损毁财物不负刑事责任的刑法基本原理 ;暗合了恢复性司法的精神。

交通肇事	过失	NA	能圆满解决诸多疑难:不存在共同过失犯;《关于审理交通肇事刑事案件具体应用法律若干问题的解释》未侵犯立法权;逃逸无需独立成罪。

交通肇事	过失	NA	该条并不是单位主管人员等人因监督过失而构成交通肇事罪的排他性规定。

交通肇事	过失	NA	交通肇事罪作为传统的过失犯罪。

交通肇事	过失	NA	正确的理解应当是“在交通肇事后因不实施救助行为而过失地致人死亡”。

危险犯	构成要件	NA	故意论具有逼真性:故意论不会罪刑失衡;公共安全不包括人身权;危害公共安全罪都是危险犯;伤亡结果不是构成要件结果;故意论不会影响既有判决。

被告人	故意杀人	NA	三名被告人均被以故意杀人罪判刑。

被告人	故意杀人	NA	以故意杀人 罪判处被告人邱小强死刑。

被告人	故意杀人	NA	北京市第一中级人民法院以故意杀人罪、盗窃罪、诈骗罪合并判处被告人闫烁死刑。

被告人	故意杀人	NA	认定被告人夏阳犯故意杀人罪。

被告人	故意杀人	NA	本案的争议焦点在于被告人的行为究竟是故意杀人罪还是妨害公务罪。

被告人	故意杀人	NA	云南省文山州中级人民法院以故意杀人罪一审判处被告人苏志祥、罗超死刑。

刑法	量刑	NA	《刑法》和《刑事诉讼法》对故意伤害罪三类的情况分别确定了相应的量刑幅度和诉讼制度。

聚众斗殴罪	寻衅滋事罪	NA	法院审理并宣判:田波犯组织、领导黑社会性质组织罪、故意伤害罪、聚众斗殴罪、敲诈勒索罪、寻衅滋事罪、偷税罪、强迫交易罪、非法占用。

聚众斗殴罪	寻衅滋事罪	NA	法院审理并宣判:田波犯组织、领导黑社会性质组织罪、故意伤害罪、聚众斗殴罪、敲诈勒索罪、寻衅滋事罪、偷税罪、强迫交易罪、非法占用。

聚众斗殴罪	寻衅滋事罪	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

聚众斗殴罪	寻衅滋事罪	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

聚众斗殴罪	寻衅滋事罪	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

聚众斗殴罪	寻衅滋事罪	NA	以及寻衅滋事罪与聚众斗殴罪的区分等问题。

聚众斗殴罪	寻衅滋事罪	NA	新刑法增设了聚众斗殴罪、寻衅滋事罪、猥亵罪、聚众淫乱罪。

聚众斗殴罪	寻衅滋事罪	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

聚众斗殴罪	寻衅滋事罪	NA	《刑法》第294条第3款规定的其他犯罪行为不应当包括敲诈勒索罪、聚众斗殴罪、寻衅滋事罪和故意伤害罪(故意伤害致人死亡或者以特别残忍手段致人重伤造成严重残疾的除外)。

交通肇事罪	交通事故认定书	NA	公安机关交管部门制作的《交通事故认定书》(以下简称《认定书》)一直是检察机关公诉部门起诉交通肇事罪的控诉证据。

防卫过当	故意杀人	NA	从涉嫌故意杀人到防卫过当。

防卫过当	故意杀人	NA	 上诉人妥么尔因防卫过当故意杀人一案。

防卫过当	故意杀人	NA	是故意杀人还是防卫过当。

罪刑法定	以危险方法危害公共安全罪	NA	我国刑法中存在诸如以危险方法危害公共安全罪与罪刑法定原则、累犯与毒品累犯、自首与贿赂罪自首、一般缓刑与战时缓刑等在条文规定中总则与分则相矛盾的现象。

犯罪嫌疑人	抢劫罪	NA	上海金山区人民检察院以涉嫌抢劫罪、故意杀人罪(未遂)批准逮捕了犯罪嫌疑人江盼。

犯罪嫌疑	故意伤害	NA	方舟子被袭案主要犯罪嫌疑人肖传国因故意伤害罪在上海浦东机场被警方抓获。

犯罪嫌疑	故意伤害	NA	把一场并不复杂的乡邻纠纷弄得迷雾重重:先是以故意伤害罪对犯罪嫌疑人提请逮捕。

犯罪嫌疑	故意伤害	NA	案情简介 某分局民警于某在依法对涉嫌故意伤害他 人的犯罪嫌疑人高某进行人身搜查时。

犯罪嫌疑	故意伤害	NA	一下子变得复杂起来:先是以故意伤害罪对犯罪嫌疑人提请逮捕。

犯罪嫌疑	故意伤害	NA	淮北市杜集区人民检察院以涉嫌故意伤害罪对犯罪嫌疑人张亚辉批准逮捕。

交通肇事	故意	NA	中外立法差异决定了我国交通肇事罪主观应为故意。

交通肇事	故意	NA	前5位的罪名依次是交通肇事罪、故意伤害罪、寻衅滋事罪、故意杀。

交通肇事	故意	NA	前5位的罪名依次是交通肇事罪、故意伤害罪、寻衅滋事罪、故意杀。

交通肇事	故意	NA	前5位的罪名依次是交通肇事罪、故意伤害罪、寻衅滋事罪、故意杀。

交通肇事	故意	NA	也有利于交通肇事罪与不作为的故意杀人罪的区分。

交通肇事	故意	NA	也有利于交通肇事罪与不作为的故意杀人罪的区分。

交通肇事	故意	NA	交通肇事逃逸致人死亡的法定刑对本来还构成的遗弃罪或者不作为的故意杀人罪一并作了刑罚评价。

交通肇事	故意	NA	交通肇事逃逸致人死亡的法定刑对本来还构成的遗弃罪或者不作为的故意杀人罪一并作了刑罚评价。

交通肇事	故意	NA	交通肇事罪的加重情节已经对正犯的遗弃行为或不作为的故意杀人行为进行了包括的刑罚评价。

交通肇事	故意	NA	交通肇事罪的加重情节已经对正犯的遗弃行为或不作为的故意杀人行为进行了包括的刑罚评价。

结果加重犯	故意	NA	故意伤害致人死亡是结果加重犯的典型适例。

结果加重犯	故意	NA	刑法第２３４条关于故意伤害结果加重犯的规定。

结果加重犯	故意	NA	宜将故意伤害(致死)罪理解为故意伤害(轻伤)罪的二重的结果加重犯。

赔偿	民事诉讼	NA	审理交通肇事犯罪引发的民事赔偿纠纷应严格按照刑事附带民事诉讼模式解决。

故意杀人案	市人民检察院	NA	吉林省长春市人民检察院主诉检察官姜涛受理了一起涉嫌故意杀人案:嫌疑人曲立宝因被分流下岗。

刑法	犯罪	NA	重点分析了故意杀人罪与刑法分则第三章中其他造成人员死亡的有关犯罪的区别。

量刑	被害人过错	NA	交通肇事罪中的被害人过错影响量刑。

交通肇事	推定	NA	交通肇事中关于事故责任认定中的推定有着诸多不合理性。

伤害罪	量刑	NA	《刑法》和《刑事诉讼法》对故意伤害罪三类的情况分别确定了相应的量刑幅度和诉讼制度。

伤害罪	量刑	NA	按以医疗手段故意杀人罪或故意伤害罪定罪量刑。

伤害罪	量刑	NA	按以医疗手段故意杀人罪或故意伤害罪定罪量刑。

伤害罪	量刑	NA	刑法第一百三十四条根据伤害的不同后果对故意伤害罪规定了三个量刑幅度:致人轻伤的。

应用	法律	NA	最高人民法院《关于审理交通肇事刑事案件具体应用法律若干问题的解释》将交通事故责任规定为认定交通肇事罪的成立条件。

司法解释	交通肇事	NA	最高人民法院的有关司法解释修改了现行刑法中的交通肇事罪的成立要件。

司法解释	交通肇事	NA	交通肇事逃逸的相关司法解释存在一定的问题。

司法解释	交通肇事	NA	但此修正案并没有对交通肇事罪立法和司法解释的诸多悖论进行全面的完善。

司法解释	交通肇事	NA	从刑法分则对交通肇事罪的规定和最高人民法院关于交通肇事罪的司法解释来看。

司法解释	交通肇事	NA	司法解释规定指使者与受指使逃逸的交通肇事者构成交通肇事罪的共犯。

司法解释	交通肇事	NA	交通肇事罪的司法解释规定指使肇事者逃逸的以共犯论处。

法院	刑事案件	NA	审判实践中应严格按照最高人民法院《关于审理破坏公用电信设施刑事案件具体应用法律若干问题的解释》(以下简称《解释》)中列举规定的危害公共安全和严重后果的具体情形进行定罪和量刑。

海洛因	贩卖毒品	NA	例如曾在北京火车站进行毒品交易、携带海洛因500克—1000克的少数民族毒贩克里木、优素夫;在河北涿州疯狂贩卖毒品的“黑老大”;以及在北京至莫斯科的国际列车上对旅客实施抢劫、伤害、强奸的匪首牛顿、苗炳林等人。

交通肇事	危险驾驶	NA	危险驾驶行为按照交通肇事罪加以定罪量刑。

交通肇事	危险驾驶	NA	危险驾驶行为按照交通肇事罪加以定罪量刑。

交通肇事	危险驾驶	NA	特殊情形的完全昏醉和作为原因自由行为的危险驾驶不属于交通肇事罪的范畴。

交通肇事	危险驾驶	NA	特殊情形的完全昏醉和作为原因自由行为的危险驾驶不属于交通肇事罪的范畴。

交通肇事	危险驾驶	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

交通肇事	危险驾驶	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

交通肇事	危险驾驶	NA	一、危险驾驶行为的主观罪过形式分类近期所发生的醉酒驾车、无技术驾驶、飙车等危险驾驶行为引起的最大的争论就在于行为人是构成交通肇事罪还是以危险方法危害公共安全罪。

